,Date,Hour,SUMS
866,06.02.2016,2,0
867,06.02.2016,3,0
868,06.02.2016,4,0
869,06.02.2016,5,0
870,06.02.2016,6,0
871,06.02.2016,7,124.061
872,06.02.2016,8,287.221
873,06.02.2016,9,403.779
874,06.02.2016,10,461.946
875,06.02.2016,11,464.639
876,06.02.2016,12,423.963
877,06.02.2016,13,330.441
878,06.02.2016,14,209.671
879,06.02.2016,15,59.493
880,06.02.2016,16,0
881,06.02.2016,17,0
882,06.02.2016,18,0
883,06.02.2016,19,0
884,06.02.2016,20,0
885,06.02.2016,21,0
886,06.02.2016,22,0
887,06.02.2016,23,0
888,07.02.2016,0,0
889,07.02.2016,1,0
890,07.02.2016,2,0
891,07.02.2016,3,0
892,07.02.2016,4,0
893,07.02.2016,5,0
894,07.02.2016,6,0
895,07.02.2016,7,86.701
896,07.02.2016,8,157.451
897,07.02.2016,9,311.087
898,07.02.2016,10,403.736
899,07.02.2016,11,380.264
900,07.02.2016,12,207.715
901,07.02.2016,13,82.161
902,07.02.2016,14,23.606
903,07.02.2016,15,15.118
904,07.02.2016,16,0
905,07.02.2016,17,0
906,07.02.2016,18,0
907,07.02.2016,19,0
908,07.02.2016,20,0
909,07.02.2016,21,0
910,07.02.2016,22,0
911,07.02.2016,23,0
912,08.02.2016,0,0
913,08.02.2016,1,0
914,08.02.2016,2,0
915,08.02.2016,3,0
916,08.02.2016,4,0
917,08.02.2016,5,0
918,08.02.2016,6,0
919,08.02.2016,7,152.983
920,08.02.2016,8,253.484
921,08.02.2016,9,320.996
922,08.02.2016,10,266.632
923,08.02.2016,11,275.474
924,08.02.2016,12,369.984
925,08.02.2016,13,214.331
926,08.02.2016,14,124.374
927,08.02.2016,15,18.287
928,08.02.2016,16,0
929,08.02.2016,17,0
930,08.02.2016,18,0
931,08.02.2016,19,0
932,08.02.2016,20,0
933,08.02.2016,21,0
934,08.02.2016,22,0
935,08.02.2016,23,0
936,09.02.2016,0,0
937,09.02.2016,1,0
938,09.02.2016,2,0
939,09.02.2016,3,0
940,09.02.2016,4,0
941,09.02.2016,5,0
942,09.02.2016,6,0
943,09.02.2016,7,85.952
944,09.02.2016,8,108.575
945,09.02.2016,9,82.44
946,09.02.2016,10,135.123
947,09.02.2016,11,263.996
948,09.02.2016,12,212.645
949,09.02.2016,13,79.888
950,09.02.2016,14,44.643
951,09.02.2016,15,11.389
952,09.02.2016,16,0
953,09.02.2016,17,0
954,09.02.2016,18,0
955,09.02.2016,19,0
956,09.02.2016,20,0
957,09.02.2016,21,0
958,09.02.2016,22,0
959,09.02.2016,23,0
960,10.02.2016,0,0
961,10.02.2016,1,0
962,10.02.2016,2,0
963,10.02.2016,3,0
964,10.02.2016,4,0
965,10.02.2016,5,0
966,10.02.2016,6,0
967,10.02.2016,7,8.529
968,10.02.2016,8,23.44
969,10.02.2016,9,47.411
970,10.02.2016,10,135.838
971,10.02.2016,11,313.021
972,10.02.2016,12,356.949
973,10.02.2016,13,318.856
974,10.02.2016,14,118.951
975,10.02.2016,15,31.64
976,10.02.2016,16,0
977,10.02.2016,17,0
978,10.02.2016,18,0
979,10.02.2016,19,0
980,10.02.2016,20,0
981,10.02.2016,21,0
982,10.02.2016,22,0
983,10.02.2016,23,0
984,11.02.2016,0,0
985,11.02.2016,1,0
986,11.02.2016,2,0
987,11.02.2016,3,0
988,11.02.2016,4,0
989,11.02.2016,5,0
990,11.02.2016,6,0
991,11.02.2016,7,128.186
992,11.02.2016,8,312.608
993,11.02.2016,9,443.069
994,11.02.2016,10,511.082
995,11.02.2016,11,531.582
996,11.02.2016,12,493.784
997,11.02.2016,13,420.556
998,11.02.2016,14,293.382
999,11.02.2016,15,134.085
1000,11.02.2016,16,0
1001,11.02.2016,17,0
1002,11.02.2016,18,0
1003,11.02.2016,19,0
1004,11.02.2016,20,0
1005,11.02.2016,21,0
1006,11.02.2016,22,0
1007,11.02.2016,23,0
1008,12.02.2016,0,0
1009,12.02.2016,1,0
